rank,language,fname,packages,scripts,share,calls
2041,R,fitmeasures,lavaan,1,0.0001,15
2042,R,fivenum,stats,1,0.0001,1
2043,R,fixed.effects,nlme,1,0.0001,1
2044,R,fixedse,lfe,1,0.0001,2
2045,Python,fmin_cobyla,scipy.optimize,1,0.0002,3
2046,Python,fmin_ncg,scipy.optimize,1,0.0002,1
2047,Python,foldnorm,scipy.stats,1,0.0002,1
2048,R,formatSpMatrix,Matrix,1,0.0001,2
2049,R,formatSparseM,Matrix,1,0.0001,1
2050,R,fourCellsFromXY,raster,1,0.0001,1
2051,Python,fowlkes_mallows_score,sklearn.metrics,1,0.0002,8
2052,Python,from_PreparedConstraint,scipy.optimize,1,0.0002,7
2053,Python,from_formula,linearmodels,1,0.0002,15
2054,R,fs.boundary,mgcv,1,0.0001,1
2055,R,fs.test,mgcv,1,0.0001,2
2056,Python,full_output_example,scipy.optimize,1,0.0002,1
2057,R,funnel,metafor,1,0.0001,1
2058,R,fviz_pca_var,factoextra,1,0.0001,1
2059,Python,gamma,scipy.stats,1,0.0002,2
2060,Python,gamma,numpy.random,1,0.0002,2
2061,Python,gamma_gen,scipy.stats,1,0.0002,1
2062,Python,gammaln,scipy.stats,1,0.0002,2
2063,R,gapply,nlme;sna,1,0.0001,3
2064,R,gcIntermediate,geosphere,1,0.0001,5
2065,R,gcIntersect,geosphere,1,0.0001,1
2066,R,gcIntersectBearing,geosphere,1,0.0001,2
2067,R,gcLat,geosphere,1,0.0001,2
2068,R,gcLon,geosphere,1,0.0001,1
2069,R,gcMaxLat,geosphere,1,0.0001,1
2070,R,gdal_crs,sf,1,0.0001,1
2071,R,gdal_read,sf,1,0.0001,1
2072,R,gdal_subdatasets,sf,1,0.0001,2
2073,R,gdal_utils,sf,1,0.0001,9
2074,R,gdal_write,sf,1,0.0001,3
2075,R,geary,spdep,1,0.0001,4
2076,Python,genhyperbolic,scipy.stats,1,0.0002,8
2077,Python,geninvgauss,scipy.stats,1,0.0002,6
2078,Python,genpareto,scipy.stats,1,0.0002,9
2079,Python,geom,scipy.stats,1,0.0002,1
2080,Python,geometric,numpy.random,1,0.0002,1
2081,R,getCols,raster,1,0.0001,2
2082,R,getCovariate,nlme,1,0.0001,6
2083,R,getGroupsFormula,nlme,1,0.0001,1
2084,R,getResponseFormula,nlme,1,0.0001,1
2085,R,getVarCov,nlme,1,0.0001,4
2086,Python,get_auto_step_size,sklearn.linear_model,1,0.0002,2
2087,R,get_coef,marginaleffects,1,0.0001,2
2088,R,get_covariate_balance,PanelMatch,1,0.0001,9
2089,R,get_key_pos,sf,1,0.0001,1
2090,R,get_labels,sjlabelled,1,0.0001,9
2091,R,get_matches,MatchIt,1,0.0001,1
2092,R,get_na,sjlabelled,1,0.0001,7
2093,R,get_pums,tidycensus,1,0.0001,1
2094,Python,get_rdataset,statsmodels,1,0.0002,1
2095,Python,get_state,numpy.random,1,0.0002,1
2096,Python,get_tests,scipy.optimize,1,0.0002,1
2097,R,get_title,ggeffects,1,0.0001,2
2098,Python,get_trlib_quadratic_subproblem,scipy.optimize,1,0.0002,2
2099,R,get_values,sjlabelled,1,0.0001,2
2100,R,get_x,rstanarm,1,0.0001,3
2101,R,getoff,raster,1,0.0001,9
2102,R,ggcoxzph,survminer,1,0.0001,1
2103,R,ggdid,did,1,0.0001,5
2104,R,ggsurvplot,survminer,1,0.0001,1
2105,Python,glm,statsmodels,1,0.0002,1
2106,R,glm.convert,MASS,1,0.0001,1
2107,R,glmer.nb,lme4,1,0.0001,2
2108,R,glsControl,nlme,1,0.0001,2
2109,R,gnlsControl,nlme,1,0.0001,1
2110,R,go,arm,1,0.0001,1
2111,R,grangertest,lmtest,1,0.0001,1
2112,R,graph.neighborhood,igraph,1,0.0001,1
2113,R,graph2T,Matrix,1,0.0001,1
2114,R,graph_from_adj_list,igraph,1,0.0001,1
2115,R,graph_from_adjacency_matrix,igraph,1,0.0001,2
2116,R,greatCircle,geosphere,1,0.0001,2
2117,R,greatCircleBearing,geosphere,1,0.0001,4
2118,R,gridat,sp,1,0.0001,2
2119,R,groups,igraph;srvyr,1,0.0001,1
2120,Python,gstd,scipy.stats,1,0.0002,15
2121,R,gsummary,nlme,1,0.0001,9
2122,Python,gumbel,numpy.random,1,0.0002,2
2123,Python,hamming_loss,sklearn.metrics,1,0.0002,11
2124,Python,haversine_distances,sklearn.metrics,1,0.0002,4
2125,Python,hdmedian,scipy.stats,1,0.0002,5
2126,Python,hdquantiles,scipy.stats,1,0.0002,8
2127,Python,hdquantiles_sd,scipy.stats,1,0.0002,2
2128,R,hillShade,raster,1,0.0001,1
2129,Python,hinge_loss,sklearn.metrics,1,0.0002,7
2130,Python,hmean,scipy.stats,1,0.0002,4
2131,Python,homogeneity_completeness_v_measure,sklearn.metrics,1,0.0002,6
2132,R,huber,MASS,1,0.0001,1
2133,Python,hypergeom,scipy.stats,1,0.0002,3
2134,Python,idealfourths,scipy.stats,1,0.0002,4
2135,R,image.plot,fields,1,0.0001,8
2136,R,inSide,mgcv,1,0.0001,1
2137,R,include.self,spdep,1,0.0001,2
2138,R,index2char,zoo,1,0.0001,7
2139,R,induced.subgraph,igraph,1,0.0001,1
2140,R,iniToList,raster,1,0.0001,1
2141,Python,initial_constraints_as_canonical,scipy.optimize,1,0.0002,2
2142,Python,initialize_direction_numbers,scipy.stats,1,0.0002,1
2143,Python,initialize_v,scipy.stats,1,0.0002,1
2144,R,interaction.plot,stats,1,0.0001,1
2145,R,interpolate,e1071;raster,1,0.0001,1
2146,Python,intersect_trust_region,scipy.optimize,1,0.0002,3
2147,R,invMillsRatio,sampleSelection,1,0.0001,1
2148,Python,invgamma,scipy.stats,1,0.0002,1
2149,Python,invgauss,scipy.stats,1,0.0002,2
2150,Python,invwishart,scipy.stats,1,0.0002,3
2151,R,is.discrete,Hmisc;network,1,0.0001,6
2152,R,is.empty.model,stats,1,0.0001,1
2153,R,is.missing,memisc,1,0.0001,6
2154,R,is.named,igraph,1,0.0001,1
2155,R,is.pbalanced,plm,1,0.0001,2
2156,R,is.stepfun,stats,1,0.0001,1
2157,R,is_na,naniar,1,0.0001,5
2158,R,is_nested,sjmisc,1,0.0001,1
2159,Python,isf,scipy.stats,1,0.0002,29
2160,R,isoMDS,MASS,1,0.0001,3
2161,R,isoreg,stats,1,0.0001,1
2162,Python,itemfreq,scipy.stats,1,0.0002,3
2163,R,ivreg.fit,AER,1,0.0001,1
2164,Python,jarque_bera,scipy.stats,1,0.0002,27
2165,R,kappa2,irr,1,0.0001,3
2166,Python,kappa4,scipy.stats,1,0.0002,1
2167,Python,kendalltau_seasonal,scipy.stats,1,0.0002,1
2168,Python,keys,sklearn.metrics,1,0.0002,1
2169,Python,keys,scipy.optimize,1,0.0002,1
2170,R,knn,igraph,1,0.0001,4
2171,R,knots,stats,1,0.0001,1
2172,Python,kolmogn,scipy.stats,1,0.0002,3
2173,Python,label_ranking_average_precision_score,sklearn.metrics,1,0.0002,3
2174,Python,label_ranking_loss,sklearn.metrics,1,0.0002,34
2175,Python,laplace,numpy.random,1,0.0002,2
2176,Python,laplacian_kernel,sklearn.metrics,1,0.0002,1
2177,Python,lasso_path,sklearn.linear_model,1,0.0002,1
2178,R,lavPredict,lavaan,1,0.0001,1
2179,R,layout.auto,igraph,1,0.0001,3
2180,R,layout.fruchterman.reingold,igraph,1,0.0001,1
2181,R,layout.kamada.kawai,igraph,1,0.0001,1
2182,R,layout_in_circle,igraph,1,0.0001,1
2183,R,lda,MASS,1,0.0001,9
2184,R,lead,plm,1,0.0001,938
2185,Python,least_squares,scipy.stats,1,0.0002,1
2186,Python,leastsq,scipy.optimize,1,0.0002,6
2187,R,leftColFromX,raster,1,0.0001,1
2188,Python,left_multiplied_operator,scipy.optimize,1,0.0002,1
2189,R,levene.test,car,1,0.0001,8
2190,Python,line_search_armijo,scipy.optimize,1,0.0002,1
2191,R,linearHypothesis.default,car,1,0.0001,1
2192,Python,linear_kernel,sklearn.metrics,1,0.0002,1
2193,Python,linearmixing,scipy.optimize,1,0.0002,1
2194,Python,linprog,scipy.optimize,1,0.0002,116
2195,R,lm.influence,stats,1,0.0001,2
2196,R,loadMeuse,sp,1,0.0001,1
2197,R,loadings,stats,1,0.0001,4
2198,R,logfun,raster,1,0.0001,3
2199,R,logistic,VGAM;psych,1,0.0001,2
2200,Python,logistic,numpy.random,1,0.0002,1
2201,R,logit,arm;boot;car;psych;rstanarm,1,0.0001,2
2202,Python,logit,statsmodels,1,0.0002,13
2203,R,loglm,MASS,1,0.0001,1
2204,Python,logser,scipy.stats,1,0.0002,1
2205,Python,logsf,scipy.stats,1,0.0002,17
2206,R,logtrans,MASS,1,0.0001,1
2207,Python,loguniform,scipy.stats,1,0.0002,1
2208,R,loo_compare,brms;rstanarm,1,0.0001,1
2209,Python,loop_example,scipy.optimize,1,0.0002,4
2210,Python,lower,scipy.stats,1,0.0002,2
2211,R,lpolygon,metafor,1,0.0001,1
2212,Python,lsq_linear,scipy.optimize,1,0.0002,21
2213,R,ma,brms;forecast,1,0.0001,10
2214,R,make.formula,survey,1,0.0001,4
2215,R,make.par.list,zoo,1,0.0001,8
2216,R,makeDesign,cjoint,1,0.0001,1
2217,R,makeLine,geosphere,1,0.0001,1
2218,R,makePoly,geosphere,1,0.0001,2
2219,Python,manhattan_distances,sklearn.metrics,1,0.0002,2
2220,R,marginal_effects,brms;margins,1,0.0001,2
2221,Python,margins,scipy.stats,1,0.0002,4
2222,R,matched,optmatch,1,0.0001,2
2223,Python,matrix_normal,scipy.stats,1,0.0002,17
2224,Python,matthews_corrcoef,sklearn.metrics,1,0.0002,19
2225,Python,max_error,sklearn.metrics,1,0.0002,2
2226,R,mca,MASS,1,0.0001,1
2227,R,mcmc_intervals,bayesplot,1,0.0001,8
2228,R,mcmc_trace,bayesplot,1,0.0001,1
2229,R,mcp,multcomp,1,0.0001,3
2230,Python,mean_absolute_error,sklearn.metrics,1,0.0002,6
2231,Python,mean_absolute_percentage_error,sklearn.metrics,1,0.0002,6
2232,Python,mean_squared_log_error,sklearn.metrics,1,0.0002,8
2233,Python,mean_tweedie_deviance,sklearn.metrics,1,0.0002,25
2234,R,meatCL,sandwich,1,0.0001,1
2235,R,meatHAC,sandwich,1,0.0001,1
2236,R,meatHC,sandwich,1,0.0001,1
2237,R,meatPC,sandwich,1,0.0001,1
2238,R,meatPL,sandwich,1,0.0001,1
2239,Python,median_abs_deviation,scipy.stats,1,0.0002,9
2240,Python,median_absolute_deviation,scipy.stats,1,0.0002,12
2241,Python,median_absolute_error,sklearn.metrics,1,0.0002,3
2242,R,mercator,geosphere,1,0.0001,2
2243,R,merge.xts,xts,1,0.0001,1
2244,R,merge.zoo,zoo,1,0.0001,1
2245,R,midPoint,geosphere,1,0.0001,1
2246,Python,mielke,scipy.stats,1,0.0002,3
2247,Python,minimize_quadratic_1d,scipy.optimize,1,0.0002,10
2248,Python,mjci,scipy.stats,1,0.0002,1
2249,R,mlogit.data,mlogit,1,0.0001,3
2250,R,model.frame.default,stats,1,0.0001,1
2251,R,model.matrix.default,stats,1,0.0001,1
2252,Python,modified_dogleg,scipy.optimize,1,0.0002,8
2253,Python,mquantiles_cimj,scipy.stats,1,0.0002,1
2254,Python,multilabel_confusion_matrix,sklearn.metrics,1,0.0002,15
2255,R,multimed,mediation,1,0.0001,9
2256,Python,multinomial,scipy.stats,1,0.0002,1
2257,Python,multiscale_graphcorr,scipy.stats,1,0.0002,7
2258,Python,multivariate_hypergeom,scipy.stats,1,0.0002,3
2259,Python,multivariate_normal,scipy.stats,1,0.0002,9
2260,Python,multivariate_t,scipy.stats,1,0.0002,16
2261,Python,mutual_info_score,sklearn.metrics,1,0.0002,6
2262,Python,mv,scipy.stats,1,0.0002,1
2263,R,my.sort,raster,1,0.0001,1
2264,R,my.unique,raster,1,0.0001,1
2265,Python,n_primes,scipy.stats,1,0.0002,3
2266,R,na.fill,zoo,1,0.0001,4
2267,R,na.replace,glmnet,1,0.0001,1
2268,R,na.rm,questionr,1,0.0001,1
2269,R,nb2lines,spdep,1,0.0001,1
2270,R,nb2mat,spdep,1,0.0001,1
2271,R,nbcost,spdep,1,0.0001,3
2272,Python,nbinom,scipy.stats,1,0.0002,1
2273,R,nchains,brms,1,0.0001,2
2274,Python,nct,scipy.stats,1,0.0002,3
2275,R,ndays,xts,1,0.0001,2
2276,Python,ndcg_score,sklearn.metrics,1,0.0002,7
2277,R,ndraws,brms,1,0.0001,3
2278,Python,negative_binomial,numpy.random,1,0.0002,1
2279,R,neighborhood,igraph;sna,1,0.0001,2
2280,Python,newton_krylov,scipy.optimize,1,0.0002,1
2281,R,niterations,brms,1,0.0001,1
2282,R,nlmeControl,nlme,1,0.0001,6
2283,Python,nnls,scipy.optimize,1,0.0002,2
2284,Python,noncentral_chisquare,numpy.random,1,0.0002,3
2285,Python,noncentral_f,numpy.random,1,0.0002,2
2286,Python,nonlin_solve,scipy.optimize,1,0.0002,1
2287,Python,norm,scipy.optimize,1,0.0002,22
2288,R,normalize,igraph,1,0.0001,1
2289,R,old.make.sym.nb,spdep,1,0.0001,1
2290,Python,old_bound_to_new,scipy.optimize,1,0.0002,2
2291,R,onGreatCircle,geosphere,1,0.0001,1
2292,R,onenormest,Matrix,1,0.0001,1
2293,Python,orthogonal_mp,sklearn.linear_model,1,0.0002,19
2294,Python,orthogonal_mp_gram,sklearn.linear_model,1,0.0002,7
2295,Python,orthogonality,scipy.optimize,1,0.0002,6
2296,R,overDF_for_rgeos,sp,1,0.0001,1
2297,R,overimpute,Amelia,1,0.0001,16
2298,R,owin,sp,1,0.0001,5
2299,Python,page_trend_test,scipy.stats,1,0.0002,24
2300,Python,pair_confusion_matrix,sklearn.metrics,1,0.0002,3
2301,Python,paired_distances,sklearn.metrics,1,0.0002,4
2302,Python,paired_euclidean_distances,sklearn.metrics,1,0.0002,1
2303,Python,paired_manhattan_distances,sklearn.metrics,1,0.0002,1
2304,R,pairwise.t.test,stats,1,0.0001,18
2305,Python,pairwise_distances_argmin_min,sklearn.metrics,1,0.0002,8
2306,Python,pairwise_distances_chunked,sklearn.metrics,1,0.0002,8
2307,R,partial_r2,sensemakr,1,0.0001,4
2308,R,pava.blocks,sandwich,1,0.0001,2
2309,R,pdSymm,nlme,1,0.0001,1
2310,Python,pearson3,scipy.stats,1,0.0002,2
2311,R,perimeter,rms,1,0.0001,1
2312,R,permute,igraph,1,0.0001,1
2313,R,phenoModel,nlme,1,0.0001,1
2314,R,placebo_test,PanelMatch,1,0.0001,1
2315,R,plot.gam,mgcv,1,0.0001,20
2316,R,plot.igraph,igraph,1,0.0001,3
2317,R,plot.margins,margins,1,0.0001,1
2318,R,plot.nb,spdep,1,0.0001,1
2319,Python,plot_confusion_matrix,sklearn.metrics,1,0.0002,10
2320,Python,plot_det_curve,sklearn.metrics,1,0.0002,1
2321,Python,plot_precision_recall_curve,sklearn.metrics,1,0.0002,11
2322,R,plot_predictions,marginaleffects,1,0.0001,1
2323,Python,plot_roc_curve,sklearn.metrics,1,0.0002,5
2324,R,plot_sf,sf,1,0.0001,8
2325,R,plot_slopes,marginaleffects,1,0.0001,1
2326,Python,plotting_positions,scipy.stats,1,0.0002,1
2327,R,pmvt,mvtnorm,1,0.0001,2
2328,R,polyimageregrid,raster,1,0.0001,2
2329,Python,polynomial_kernel,sklearn.metrics,1,0.0002,3
2330,R,pool,mice,1,0.0001,2
2331,R,pool.r.squared,mice,1,0.0001,2
2332,R,pooledSD,nlme,1,0.0001,1
2333,R,post,rpart,1,0.0001,2
2334,R,postResample,caret,1,0.0001,3
2335,Python,power,numpy.random,1,0.0002,1
2336,Python,power_divergence,scipy.stats,1,0.0002,11
2337,R,ppp,sp,1,0.0001,1
2338,R,ppr,stats,1,0.0001,5
2339,R,precision,caret,1,0.0001,1
2340,Python,precision_recall_fscore_support,sklearn.metrics,1,0.0002,29
2341,R,price,VGAM,1,0.0001,5
2342,Python,primes_from_2_to,scipy.stats,1,0.0002,1
2343,R,print.CRS,sp,1,0.0001,1
2344,R,print.DMS,sp,1,0.0001,1
2345,R,print.GridTopology,sp,1,0.0001,1
2346,R,print.SpatialMultiPoints,sp,1,0.0001,1
2347,R,print.SpatialPixels,sp,1,0.0001,1
2348,R,print.SpatialPixelsDataFrame,sp,1,0.0001,1
2349,R,print.SpatialPoints,sp,1,0.0001,1
2350,R,print.nb,spdep,1,0.0001,2
2351,R,printSpMatrix2,Matrix,1,0.0001,1
2352,R,prior,brms,1,0.0001,2
2353,R,progress,caret,1,0.0001,1
2354,R,proj,stats,1,0.0001,1
2355,Python,projected_cg,scipy.optimize,1,0.0002,12
2356,R,prune.rpart,rpart,1,0.0001,1
2357,R,prunecost,spdep,1,0.0001,2
2358,R,pwr.t.test,pwr,1,0.0001,1
2359,R,qda,MASS,1,0.0001,1
2360,R,qrR,Matrix,1,0.0001,1
2361,Python,quadratic_assignment,scipy.optimize,1,0.0002,42
2362,R,quasi,stats,1,0.0001,1
2363,R,quinModel,nlme,1,0.0001,1
2364,R,quo_name,srvyr,1,0.0001,2
2365,R,r.squaredGLMM,MuMIn,1,0.0001,16
2366,R,r2,fixest,1,0.0001,3
2367,R,rMultinom,Hmisc,1,0.0001,1
2368,R,rand,lmerTest,1,0.0001,1
2369,Python,rand_score,sklearn.metrics,1,0.0002,4
2370,R,random.effects,nlme,1,0.0001,1
2371,R,randomCoordinates,geosphere,1,0.0001,1
2372,Python,random_integers,numpy.random,1,0.0002,2
2373,Python,ranksums,scipy.stats,1,0.0002,3
2374,R,rasterFromCells,raster,1,0.0001,1
2375,R,ratify,raster,1,0.0001,1
2376,R,rcorr.cens,Hmisc,1,0.0001,99
2377,Python,rdist,scipy.stats,1,0.0002,1
2378,R,rdplot,rdrobust,1,0.0001,2
2379,R,ref_grid,emmeans,1,0.0001,2
2380,Python,reflective_transformation,scipy.optimize,1,0.0002,5
2381,R,regression_forest,grf,1,0.0001,2
2382,R,regularCoordinates,geosphere,1,0.0001,1
2383,R,relabel,memisc,1,0.0001,1
2384,Python,relative_risk,scipy.stats,1,0.0002,9
2385,Python,relfreq,scipy.stats,1,0.0002,3
2386,R,remove.duplicates,sp,1,0.0001,1
2387,R,remove_all_labels,sjlabelled,1,0.0001,1
2388,R,rename_,srvyr,1,0.0001,2
2389,R,rep2abI,Matrix,1,0.0001,3
2390,R,replace_labels,sjlabelled,1,0.0001,1
2391,R,replace_with_na_all,naniar,1,0.0001,1
2392,R,replications,stats,1,0.0001,2
2393,R,reshape_longer,sjmisc,1,0.0001,2
2394,R,rhat,bayesplot;brms,1,0.0001,1
2395,Python,ridge_regression,sklearn.linear_model,1,0.0002,5
2396,R,rightColFromX,raster,1,0.0001,1
2397,Python,right_multiplied_operator,scipy.optimize,1,0.0002,1
2398,R,rnegbin,MASS,1,0.0001,1
2399,Python,rosen_der,scipy.optimize,1,0.0002,1
2400,R,rowColFromCell,raster,1,0.0001,3
2401,R,rpareto,VGAM,1,0.0001,1
2402,R,rpart.exp,rpart,1,0.0001,1
2403,Python,rsh,scipy.stats,1,0.0002,2
2404,R,rsq.rpart,rpart,1,0.0001,1
2405,R,rtnorm,msm,1,0.0001,1
2406,Python,rv_continuous,scipy.stats,1,0.0002,1
2407,Python,rv_discrete,scipy.stats,1,0.0002,13
2408,Python,rv_histogram,scipy.stats,1,0.0002,2
2409,Python,rvs_ratio_uniforms,scipy.stats,1,0.0002,12
2410,R,sammon,MASS,1,0.0001,2
2411,R,sampleInt,raster,1,0.0001,3
2412,Python,scalar_search_armijo,scipy.optimize,1,0.0002,2
2413,Python,scalar_search_wolfe1,scipy.optimize,1,0.0002,1
2414,Python,scalar_search_wolfe2,scipy.optimize,1,0.0002,2
2415,Python,scale,scipy.stats,1,0.0002,12
2416,R,scale_x_yearqtr,zoo,1,0.0001,3
2417,R,select_at,srvyr,1,0.0001,1
2418,R,ses,forecast,1,0.0001,1
2419,R,setChunksize,raster,1,0.0001,1
2420,R,setDataType,raster,1,0.0001,1
2421,R,setFileExt,raster,1,0.0001,1
2422,R,setFiletype,raster,1,0.0001,1
2423,R,setFixest_nthreads,fixest,1,0.0001,1
2424,R,setMaxMemorySize,raster,1,0.0001,1
2425,R,setMemfrac,raster,1,0.0001,1
2426,R,setOverwrite,raster,1,0.0001,1
2427,R,setProgress,raster,1,0.0001,1
2428,R,setStandardNames,raster,1,0.0001,1
2429,R,setTimer,raster,1,0.0001,1
2430,R,setTmpTime,raster,1,0.0001,1
2431,R,setTmpdir,raster,1,0.0001,1
2432,R,setToDisk,raster,1,0.0001,1
2433,R,setTolerance,raster,1,0.0001,1
2434,R,set_label,sjlabelled,1,0.0001,3
2435,R,set_ll_warn,sp,1,0.0001,1
2436,R,set_na,sjlabelled;sjmisc,1,0.0001,4
2437,Python,set_state,numpy.random,1,0.0002,1
2438,Python,setulb,scipy.optimize,1,0.0002,1
2439,R,sf_project,sf,1,0.0001,6
2440,Python,shapiro,scipy.stats,1,0.0002,7
2441,Python,show_options,scipy.optimize,1,0.0002,1
2442,Python,siegelslopes,scipy.stats,1,0.0002,7
2443,R,sigmaHat,car,1,0.0001,1
2444,Python,sigmaclip,scipy.stats,1,0.0002,5
2445,Python,silhouette_samples,sklearn.metrics,1,0.0002,6
2446,Python,silhouette_score,sklearn.metrics,1,0.0002,12
2447,Python,singular_leading_submatrix,scipy.optimize,1,0.0002,3
2448,R,sir,igraph,1,0.0001,1
2449,Python,slsqp,scipy.optimize,1,0.0002,1
2450,R,snip.rpart,rpart,1,0.0001,1
2451,Python,somersd,scipy.stats,1,0.0002,32
2452,R,sortedXyData,stats,1,0.0001,2
2453,Python,special_ortho_group,scipy.stats,1,0.0002,1
2454,Python,sphere_intersections,scipy.optimize,1,0.0002,10
2455,R,spmap.to.lev,sp,1,0.0001,3
2456,R,src,Hmisc,1,0.0001,1
2457,R,st_as_binary.sfc,sf,1,0.0001,1
2458,R,st_as_sfc.list,sf,1,0.0001,1
2459,R,st_contains_properly,sf,1,0.0001,1
2460,R,st_crop.sfc,sf,1,0.0001,1
2461,R,st_filter,sf,1,0.0001,1
2462,R,st_interpolate_aw,sf,1,0.0001,2
2463,R,st_jitter,sf,1,0.0001,3
2464,R,st_perimeter,sf,1,0.0001,1
2465,R,st_read.DBIObject,sf,1,0.0001,1
2466,R,st_read.character,sf,1,0.0001,1
2467,R,st_viewport,sf,1,0.0001,8
2468,R,st_write.sf,sf,1,0.0001,3
2469,R,stackApply,raster,1,0.0001,1
2470,R,stan_glm,rstanarm,1,0.0001,20
2471,Python,standard_cauchy,numpy.random,1,0.0002,1
2472,Python,standard_exponential,numpy.random,1,0.0002,1
2473,Python,standard_gamma,numpy.random,1,0.0002,2
2474,Python,standard_t,numpy.random,1,0.0002,1
2475,R,std,sjmisc,1,0.0001,3
2476,Python,std,scipy.stats,1,0.0002,1
2477,R,step1,raster,1,0.0001,2
2478,Python,step_size_to_bound,scipy.optimize,1,0.0002,5
2479,Python,strict_bounds,scipy.optimize,1,0.0002,6
2480,R,student_t,rstanarm,1,0.0001,40
2481,R,style.df,fixest,1,0.0001,1
2482,R,subset.listw,spdep,1,0.0001,2
2483,R,subset.nb,spdep,1,0.0001,1
2484,R,summarise_each,srvyr,1,0.0001,2
2485,R,summary.margins,margins,1,0.0001,12
2486,Python,summary_col,statsmodels,1,0.0002,8
2487,Python,support,scipy.stats,1,0.0002,3
2488,R,surfaceArea,sp,1,0.0001,2
2489,R,survdiff,survival,1,0.0001,2
2490,R,svyby,survey,1,0.0001,7
2491,R,svydesign,survey,1,0.0001,4
2492,R,temp.addcol,fields;raster,1,0.0001,2
2493,R,test.all,psych,1,0.0001,1
2494,R,ti,mgcv,1,0.0001,2
2495,Python,tiecorrect,scipy.stats,1,0.0002,9
2496,R,tm_add_legend,tmap,1,0.0001,2
2497,R,tm_bubbles,tmap,1,0.0001,1
2498,R,tm_compass,tmap,1,0.0001,1
2499,R,tm_dots,tmap,1,0.0001,1
2500,R,tm_format,tmap,1,0.0001,1
2501,R,tm_pos_in,tmap,1,0.0001,8
2502,R,tm_raster,tmap,1,0.0001,1
2503,R,tm_scale_categorical,tmap,1,0.0001,1
2504,R,tm_scale_intervals,tmap,1,0.0001,7
2505,R,tm_scalebar,tmap,1,0.0001,8
2506,R,tm_text,tmap,1,0.0001,1
2507,R,tmap_format,tmap,1,0.0001,3
2508,R,tmap_format_add,tmap,1,0.0001,1
2509,R,tmap_options,tmap,1,0.0001,1
2510,Python,tmax,scipy.stats,1,0.0002,9
2511,Python,tmean,scipy.stats,1,0.0002,3
2512,Python,tmin,scipy.stats,1,0.0002,10
2513,R,to_factor,sjlabelled;sjmisc,1,0.0001,9
2514,R,toeplitz,Matrix;stats,1,0.0001,4
2515,Python,top_k_accuracy_score,sklearn.metrics,1,0.0002,6
2516,R,trafo,coin,1,0.0001,1
2517,R,triangles,igraph,1,0.0001,1
2518,Python,triangular,numpy.random,1,0.0002,1
2519,Python,trim,scipy.stats,1,0.0002,11
2520,Python,trim1,scipy.stats,1,0.0002,9
2521,Python,trim_mean,scipy.stats,1,0.0002,11
2522,Python,trimmed_mean_ci,scipy.stats,1,0.0002,1
2523,Python,trimmed_stde,scipy.stats,1,0.0002,2
2524,Python,trimr,scipy.stats,1,0.0002,1
2525,Python,trimtail,scipy.stats,1,0.0002,2
2526,R,ts.plot,stats,1,0.0001,10
2527,Python,tsem,scipy.stats,1,0.0002,3
2528,R,tsoutliers,forecast,1,0.0001,1
2529,Python,tstd,scipy.stats,1,0.0002,2
2530,Python,ttest_ind_from_stats,scipy.stats,1,0.0002,15
2531,Python,tukeylambda_kurtosis,scipy.stats,1,0.0002,7
2532,Python,tukeylambda_variance,scipy.stats,1,0.0002,7
2533,R,tuneRF,randomForest,1,0.0001,1
2534,Python,tvar,scipy.stats,1,0.0002,8
2535,R,untangle.specials,survival,1,0.0001,2
2536,R,update.formula,stats,1,0.0001,1
2537,Python,update_discrepancy,scipy.stats,1,0.0002,6
2538,R,val_labels,sjlabelled,1,0.0001,4
2539,Python,van_der_corput,scipy.stats,1,0.0002,4
2540,R,varComb,nlme,1,0.0001,1
2541,R,varConstPower,nlme,1,0.0001,2
2542,R,varConstProp,nlme,1,0.0001,2
2543,R,varExp,nlme,1,0.0001,2
2544,R,varFixed,nlme,1,0.0001,1
2545,R,varImpPlot,randomForest,1,0.0001,1
2546,R,variable_importance,grf,1,0.0001,1
2547,R,variance,coin,1,0.0001,1
2548,R,vcov.ivreg,AER,1,0.0001,1
2549,R,vcovCR,clubSandwich,1,0.0001,6
2550,R,vcovHAC,sandwich,1,0.0001,3
2551,R,vcov_cluster,fixest,1,0.0001,4
2552,R,vi2mrc,spdep,1,0.0001,4
2553,R,view,cjoint;memisc,1,0.0001,1
2554,R,vif,car;metafor;rms,1,0.0001,8
2555,Python,vonmises,scipy.stats,1,0.0002,3
2556,Python,vonmises,numpy.random,1,0.0002,2
2557,R,vuong,pscl,1,0.0001,30
2558,Python,wald,numpy.random,1,0.0002,1
2559,R,waldtest.lm,lmtest,1,0.0001,1
2560,Python,wasserstein_distance,scipy.stats,1,0.0002,20
2561,R,weighted.residuals,stats,1,0.0001,4
2562,Python,weightedtau,scipy.stats,1,0.0002,26
2563,R,weightsAndrews,sandwich,1,0.0001,1
2564,R,weightsLumley,sandwich,1,0.0001,1
2565,R,width.SJ,MASS,1,0.0001,2
2566,Python,winsorize,scipy.stats,1,0.0002,7
2567,Python,wishart,scipy.stats,1,0.0002,10
2568,R,wkt,raster;sp,1,0.0001,2
2569,R,write.amelia,Amelia,1,0.0001,1
2570,R,write.sn2gwt,spdep,1,0.0001,1
2571,R,wtd.cors,weights,1,0.0001,1
2572,R,xFromCell,raster,1,0.0001,1
