rank,language,fname,packages,scripts,share,calls
1692,Python,NumericalInverseHermite,scipy.stats,1,0.0002,13
1693,Python,ObjectiveFunWrapper,scipy.optimize,1,0.0002,1
1694,Python,OrthogonalMatchingPursuitCV,sklearn.linear_model,1,0.0002,1
1695,R,Pacf,forecast,1,0.0001,1
1696,Python,PanelOLS,linearmodels,1,0.0002,3
1697,Python,PassiveAggressiveRegressor,sklearn.linear_model,1,0.0002,4
1698,Python,Philox,numpy.random,1,0.0002,1
1699,Python,PoissonRegressor,sklearn.linear_model,1,0.0002,2
1700,Python,PrecisionRecallDisplay,sklearn.metrics,1,0.0002,1
1701,Python,RANSACRegressor,sklearn.linear_model,1,0.0002,37
1702,Python,RandomDisplacement,scipy.optimize,1,0.0002,2
1703,R,Range,DescTools;memisc,1,0.0001,10
1704,R,Reshape,memisc,1,0.0001,1
1705,Python,RidgeClassifierCV,sklearn.linear_model,1,0.0002,9
1706,Python,RocCurveDisplay,sklearn.metrics,1,0.0002,1
1707,Python,RootResults,scipy.optimize,1,0.0002,2
1708,R,Rotation,spdep,1,0.0001,1
1709,R,RoundTo,DescTools,1,0.0001,2
1710,R,S,car,1,0.0001,8
1711,Python,SHGO,scipy.optimize,1,0.0002,2
1712,R,SSbiexp,stats,1,0.0001,2
1713,R,Schur,Matrix,1,0.0001,9
1714,Python,SeedlessSeedSequence,numpy.random,1,0.0002,1
1715,R,SpatialLinesLengths,sp,1,0.0001,1
1716,Python,SquaredEpsilonInsensitive,sklearn.linear_model,1,0.0002,1
1717,Python,SquaredHinge,sklearn.linear_model,1,0.0002,1
1718,Python,SquaredLoss,sklearn.linear_model,1,0.0002,1
1719,Python,Storage,scipy.optimize,1,0.0002,1
1720,Python,StrategyChain,scipy.optimize,1,0.0002,1
1721,R,T2graph,Matrix,1,0.0001,2
1722,R,TVPACK,mvtnorm,1,0.0001,1
1723,Python,TheilSenRegressor,sklearn.linear_model,1,0.0002,14
1724,R,Tps,fields,1,0.0001,4
1725,R,TukeyHSD,stats,1,0.0001,2
1726,Python,TweedieRegressor,sklearn.linear_model,1,0.0002,3
1727,Python,VectorFunction,scipy.optimize,1,0.0002,6
1728,Python,VisitingDistribution,scipy.optimize,1,0.0002,2
1729,R,Wald_test,clubSandwich,1,0.0001,2
1730,Python,_ConstraintWrapper,scipy.optimize,1,0.0002,5
1731,Python,_LPProblem,scipy.optimize,1,0.0002,33
1732,Python,_MultimetricScorer,sklearn.metrics,1,0.0002,4
1733,Python,_PSD,scipy.stats,1,0.0002,3
1734,Python,_RidgeGCV,sklearn.linear_model,1,0.0002,3
1735,Python,_X_CenterStackOp,sklearn.linear_model,1,0.0002,1
1736,Python,_adjust_scheme_to_bounds,scipy.optimize,1,0.0002,12
1737,Python,_argcheck,scipy.stats,1,0.0002,1
1738,Python,_argus_phi,scipy.stats,1,0.0002,1
1739,Python,_average_binary_score,sklearn.metrics,1,0.0002,1
1740,Python,_beta_cdf,scipy.stats,1,0.0002,1
1741,Python,_beta_isf,scipy.stats,1,0.0002,1
1742,Python,_beta_kurtosis_excess,scipy.stats,1,0.0002,1
1743,Python,_beta_mean,scipy.stats,1,0.0002,1
1744,Python,_beta_pdf,scipy.stats,1,0.0002,1
1745,Python,_beta_ppf,scipy.stats,1,0.0002,1
1746,Python,_beta_sf,scipy.stats,1,0.0002,1
1747,Python,_beta_skewness,scipy.stats,1,0.0002,1
1748,Python,_beta_variance,scipy.stats,1,0.0002,1
1749,Python,_binary_search_for_binom_tst,scipy.stats,1,0.0002,2
1750,Python,_binom_cdf,scipy.stats,1,0.0002,1
1751,Python,_binom_isf,scipy.stats,1,0.0002,1
1752,Python,_binom_kurtosis_excess,scipy.stats,1,0.0002,1
1753,Python,_binom_mean,scipy.stats,1,0.0002,1
1754,Python,_binom_pdf,scipy.stats,1,0.0002,1
1755,Python,_binom_ppf,scipy.stats,1,0.0002,1
1756,Python,_binom_sf,scipy.stats,1,0.0002,1
1757,Python,_binom_skewness,scipy.stats,1,0.0002,1
1758,Python,_binom_variance,scipy.stats,1,0.0002,1
1759,Python,_breakdown_point,sklearn.linear_model,1,0.0002,1
1760,Python,_calc_t_stat,scipy.stats,1,0.0002,1
1761,Python,_categorize,scipy.stats,1,0.0002,1
1762,Python,_cdf,scipy.stats,1,0.0002,1
1763,Python,_cdf_cvm,scipy.stats,1,0.0002,11
1764,Python,_cdfvec,scipy.stats,1,0.0002,1
1765,Python,_check_gcv_mode,sklearn.linear_model,1,0.0002,3
1766,Python,_check_multimetric_scoring,sklearn.metrics,1,0.0002,6
1767,Python,_check_reg_targets,sklearn.metrics,1,0.0002,3
1768,Python,_check_targets,sklearn.metrics,1,0.0002,7
1769,Python,_check_unknown_options,scipy.optimize,1,0.0002,1
1770,Python,_cho_inv_batch,scipy.stats,1,0.0002,1
1771,Python,_clean_inputs,scipy.optimize,1,0.0002,19
1772,Python,_compute_absolute_step,scipy.optimize,1,0.0002,1
1773,Python,_compute_prob_inside_method,scipy.stats,1,0.0002,1
1774,Python,_contains_nan,scipy.stats,1,0.0002,1
1775,Python,_count_paths_outside_method,scipy.stats,1,0.0002,1
1776,Python,_cscramble,scipy.stats,1,0.0002,1
1777,Python,_cy_wrapper_update_discrepancy,scipy.stats,1,0.0002,1
1778,Python,_data_partitions,scipy.stats,1,0.0002,1
1779,Python,_dcg_sample_scores,sklearn.metrics,1,0.0002,13
1780,Python,_draw,scipy.stats,1,0.0002,2
1781,Python,_dynamic_max_trials,sklearn.linear_model,1,0.0002,12
1782,Python,_eps_for_method,scipy.optimize,1,0.0002,5
1783,Python,_euclidean_distances_upcast,sklearn.metrics,1,0.0002,2
1784,Python,_fast_forward,scipy.stats,1,0.0002,2
1785,Python,_fill_p_cumulative,scipy.stats,1,0.0002,1
1786,Python,_fitstart,scipy.stats,1,0.0002,8
1787,Python,_generalized_average,sklearn.metrics,1,0.0002,2
1788,Python,_get_support,scipy.stats,1,0.0002,4
1789,Python,_huber_loss_and_gradient,sklearn.linear_model,1,0.0002,2
1790,Python,_jaccard,sklearn.metrics,1,0.0002,4
1791,Python,_kendall_p_exact,scipy.stats,1,0.0002,2
1792,Python,_lars_path_residues,sklearn.linear_model,1,0.0002,1
1793,Python,_lmder,scipy.optimize,1,0.0002,1
1794,Python,_lmdif,scipy.optimize,1,0.0002,1
1795,Python,_lnB,scipy.stats,1,0.0002,1
1796,Python,_log_reg_scoring_path,sklearn.linear_model,1,0.0002,1
1797,Python,_logistic_grad_hess,sklearn.linear_model,1,0.0002,4
1798,Python,_logistic_loss,sklearn.linear_model,1,0.0002,3
1799,Python,_logistic_loss_and_grad,sklearn.linear_model,1,0.0002,7
1800,Python,_logistic_regression_path,sklearn.linear_model,1,0.0002,2
1801,Python,_modified_weiszfeld_step,sklearn.linear_model,1,0.0002,7
1802,Python,_multinomial_grad_hess,sklearn.linear_model,1,0.0002,2
1803,Python,_multinomial_grad_loss_all_samples,sklearn.linear_model,1,0.0002,1
1804,Python,_multinomial_loss_grad,sklearn.linear_model,1,0.0002,2
1805,Python,_munp,scipy.stats,1,0.0002,15
1806,Python,_nbinom_cdf,scipy.stats,1,0.0002,1
1807,Python,_nbinom_isf,scipy.stats,1,0.0002,1
1808,Python,_nbinom_kurtosis_excess,scipy.stats,1,0.0002,1
1809,Python,_nbinom_mean,scipy.stats,1,0.0002,1
1810,Python,_nbinom_pdf,scipy.stats,1,0.0002,1
1811,Python,_nbinom_ppf,scipy.stats,1,0.0002,1
1812,Python,_nbinom_sf,scipy.stats,1,0.0002,1
1813,Python,_nbinom_skewness,scipy.stats,1,0.0002,1
1814,Python,_nbinom_variance,scipy.stats,1,0.0002,1
1815,Python,_ndcg_sample_scores,sklearn.metrics,1,0.0002,4
1816,Python,_pdf,scipy.stats,1,0.0002,5
1817,Python,_ppf,scipy.stats,1,0.0002,1
1818,Python,_preprocess_data,sklearn.linear_model,1,0.0002,17
1819,Python,_pval_cvm_2samp_exact,scipy.stats,1,0.0002,1
1820,Python,_reduce_func,scipy.stats,1,0.0002,4
1821,Python,_rescale_data,sklearn.linear_model,1,0.0002,1
1822,Python,_score,scipy.optimize,1,0.0002,2
1823,Python,_set_order,sklearn.linear_model,1,0.0002,2
